Pitanje	Odgovor
Koju našu reč će svako napisati pogrešno ?	pogrešno
U trkama pasa, psi jure za ?	zecom
Iz kog zakonika potiče izreka “oko za oko, zub za zub“ ?	 Hamurabijevog zakonika
Na kom ostrvu živi najbogatiji sultan na svetu ?	Borneu
Mi bismo rekli preko puta naspram nečega, a Francuzi ?	vizavi
U kojoj evropskoj državi je mesto Šengen ?	-Luksemburgu
Koja životinja ima najosetljivije čulo sluha ?	slepi miš
Tak je štap za koju igru ?	bilijar
Koliko jedinjenja ima periodni sistem ?	nijedno
Koja nauka se smatra najstarijom naukom ?	astronomija
Koliko ima parnih dvocifrenih prirodnih brojeva ?	45
Kako se naziva sličica štampana kao ukras na početku ili na kraju knjige?	vinjeta
U kojoj državi je srpska Kamenica ?	Češkoj
Nekada popečitelji a danas ?	ministri
Svojoj strini mi smo ?	deveri
Kvadratura kruga je izraz za kakav problem ?	nerešiv
Elektronska poruka koju primalac ne želi da dobije naziva se ?	spam
Koji verski običaj postoji samo kod Srba ?	slava
Tržište robe, novca i hartija od vrednosti naziva se ?	berza
Iz kog crtanog filma je lik buvac kostolomac?	Atomski mrav
